Namespace(image='library', model='UNET')
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
Number of params: 1616315
Starting optimization with ADAM
Iteration 00407    Loss 0.019220 
Iteration 00408    Loss 0.018711 
Iteration 00409    Loss 0.018903 
Iteration 00410    Loss 0.019068 
Iteration 00411    Loss 0.018820 
Iteration 00412    Loss 0.018552 
Iteration 00413    Loss 0.018548 
Iteration 00414    Loss 0.018843 
Iteration 00415    Loss 0.018877 
Iteration 00416    Loss 0.018449 
Iteration 00417    Loss 0.018469 
Iteration 00418    Loss 0.018596 
Iteration 00419    Loss 0.018608 
Iteration 00420    Loss 0.018543 
Iteration 00421    Loss 0.018513 
Iteration 00422    Loss 0.018416 
Iteration 00423    Loss 0.018181 
Iteration 00424    Loss 0.018221 
Iteration 00425    Loss 0.018357 
Iteration 00426    Loss 0.018197 
Iteration 00427    Loss 0.018121 
Iteration 00428    Loss 0.018270 
Iteration 00429    Loss 0.018251 
Iteration 00430    Loss 0.018306 
Iteration 00431    Loss 0.018579 
Iteration 00432    Loss 0.018804 
Iteration 00433    Loss 0.019008 
Iteration 00434    Loss 0.018610 
Iteration 00435    Loss 0.018195 
Iteration 00436    Loss 0.018129 
Iteration 00437    Loss 0.017985 
Iteration 00438    Loss 0.017852 
Iteration 00439    Loss 0.018143 
Iteration 00440    Loss 0.018499 
Iteration 00441    Loss 0.018014 
Iteration 00442    Loss 0.018219 
Iteration 00443    Loss 0.018270 
Iteration 00444    Loss 0.017876 
Iteration 00445    Loss 0.018118 
Iteration 00446    Loss 0.018281 
Iteration 00447    Loss 0.017868 
Iteration 00448    Loss 0.017933 
Iteration 00449    Loss 0.018127 
Iteration 00450    Loss 0.017733 
Iteration 00451    Loss 0.017974 
Iteration 00452    Loss 0.018009 
Iteration 00453    Loss 0.017515 
Iteration 00454    Loss 0.017890 
Iteration 00455    Loss 0.017846 
Iteration 00456    Loss 0.017477 
Iteration 00457    Loss 0.017875 
Iteration 00458    Loss 0.017660 
Iteration 00459    Loss 0.017686 
Iteration 00460    Loss 0.018182 
Iteration 00461    Loss 0.017977 
Iteration 00462    Loss 0.018559 
Iteration 00463    Loss 0.018444 
Iteration 00464    Loss 0.018395 
Iteration 00465    Loss 0.018247 
Iteration 00466    Loss 0.017384 
Iteration 00467    Loss 0.017423 
Iteration 00468    Loss 0.017372 
Iteration 00469    Loss 0.017567 
Iteration 00470    Loss 0.017741 
Iteration 00471    Loss 0.017399 
Iteration 00472    Loss 0.017355 
Iteration 00473    Loss 0.017109 
Iteration 00474    Loss 0.017135 
Iteration 00475    Loss 0.017343 
Iteration 00476    Loss 0.017373 
Iteration 00477    Loss 0.017311 
Iteration 00478    Loss 0.017113 
Iteration 00479    Loss 0.016943 
Iteration 00480    Loss 0.016877 
Iteration 00481    Loss 0.016861 
