Namespace(image='library', model='ResNet')
Number of params: 158979
Starting optimization with ADAM
Iteration 00445    Loss 0.011590 
Iteration 00446    Loss 0.011683 
Iteration 00447    Loss 0.011687 
Iteration 00448    Loss 0.011438 
Iteration 00449    Loss 0.011329 
Iteration 00450    Loss 0.011455 
Iteration 00451    Loss 0.011281 
Iteration 00452    Loss 0.011240 
Iteration 00453    Loss 0.011203 
Iteration 00454    Loss 0.010999 
Iteration 00455    Loss 0.011122 
Iteration 00456    Loss 0.011149 
Iteration 00457    Loss 0.010838 
Iteration 00458    Loss 0.010977 
Iteration 00459    Loss 0.011025 
Iteration 00460    Loss 0.010805 
Iteration 00461    Loss 0.011000 
Iteration 00462    Loss 0.010875 
Iteration 00463    Loss 0.010664 
Iteration 00464    Loss 0.010758 
Iteration 00465    Loss 0.010570 
Iteration 00466    Loss 0.010521 
Iteration 00467    Loss 0.010729 
Iteration 00468    Loss 0.010610 
Iteration 00469    Loss 0.010818 
Iteration 00470    Loss 0.010720 
Iteration 00471    Loss 0.010565 
Iteration 00472    Loss 0.010714 
Iteration 00473    Loss 0.010508 
Iteration 00474    Loss 0.010585 
Iteration 00475    Loss 0.010657 
Iteration 00476    Loss 0.010960 
Iteration 00477    Loss 0.011000 
Iteration 00478    Loss 0.010654 
Iteration 00479    Loss 0.010412 
Iteration 00480    Loss 0.010589 
Iteration 00481    Loss 0.010516 
Iteration 00482    Loss 0.010558 
Iteration 00483    Loss 0.010479 
Iteration 00484    Loss 0.010476 
Iteration 00485    Loss 0.010601 
Iteration 00486    Loss 0.010565 
Iteration 00487    Loss 0.010345 
Iteration 00488    Loss 0.010281 
Iteration 00489    Loss 0.010210 
Iteration 00490    Loss 0.010213 
Iteration 00491    Loss 0.010279 
Iteration 00492    Loss 0.010247 
Iteration 00493    Loss 0.010288 
Iteration 00494    Loss 0.010244 
Iteration 00495    Loss 0.010303 
Iteration 00496    Loss 0.010292 
Iteration 00497    Loss 0.010310 
Iteration 00498    Loss 0.010279 
Iteration 00499    Loss 0.010276 
Iteration 00500    Loss 0.010244 
Iteration 00501    Loss 0.010210 
Iteration 00502    Loss 0.010146 
Iteration 00503    Loss 0.009987 
Iteration 00504    Loss 0.009867 
Iteration 00505    Loss 0.009859 
Iteration 00506    Loss 0.010053 
Iteration 00507    Loss 0.010312 
Iteration 00508    Loss 0.010342 
Iteration 00509    Loss 0.010565 
Iteration 00510    Loss 0.010220 
Iteration 00511    Loss 0.009991 
Iteration 00512    Loss 0.009989 
Iteration 00513    Loss 0.010081 
Iteration 00514    Loss 0.010103 
Iteration 00515    Loss 0.009964 
Iteration 00516    Loss 0.009824 
Iteration 00517    Loss 0.009969 
Iteration 00518    Loss 0.009850 
Iteration 00519    Loss 0.009646 
Iteration 00520    Loss 0.009814 
Iteration 00521    Loss 0.009953 
Iteration 00522    Loss 0.009905 
Iteration 00523    Loss 0.009869 
Iteration 00524    Loss 0.009813 
Iteration 00525    Loss 0.009636 
Iteration 00526    Loss 0.009476 
Iteration 00527    Loss 0.009641 
Iteration 00528    Loss 0.009745 
Iteration 00529    Loss 0.009646 
Iteration 00530    Loss 0.009562 
Iteration 00531    Loss 0.009612 
Iteration 00532    Loss 0.009825 
Iteration 00533    Loss 0.009789 
Iteration 00534    Loss 0.009674 
Iteration 00535    Loss 0.009619 
Iteration 00536    Loss 0.009526 
Iteration 00537    Loss 0.009567 
Iteration 00538    Loss 0.009444 
Iteration 00539    Loss 0.009300 
Iteration 00540    Loss 0.009480 
Iteration 00541    Loss 0.009713 
Iteration 00542    Loss 0.009883 
Iteration 00543    Loss 0.010128 
Iteration 00544    Loss 0.009704 
Iteration 00545    Loss 0.009271 
Iteration 00546    Loss 0.009434 
Iteration 00547    Loss 0.009750 
Iteration 00548    Loss 0.009683 
Iteration 00549    Loss 0.009445 
Iteration 00550    Loss 0.009447 
Iteration 00551    Loss 0.009607 
Iteration 00552    Loss 0.009478 
Iteration 00553    Loss 0.009182 
Iteration 00554    Loss 0.009113 
Iteration 00555    Loss 0.009133 
Iteration 00556    Loss 0.009147 
Iteration 00557    Loss 0.009097 
Iteration 00558    Loss 0.009115 
Iteration 00559    Loss 0.009175 
Iteration 00560    Loss 0.009123 
Iteration 00561    Loss 0.009022 
Iteration 00562    Loss 0.009227 
Iteration 00563    Loss 0.009101 
Iteration 00564    Loss 0.009101 
Iteration 00565    Loss 0.009145 
Iteration 00566    Loss 0.009132 
Iteration 00567    Loss 0.009054 
Iteration 00568    Loss 0.009168 
Iteration 00569    Loss 0.009317 
Iteration 00570    Loss 0.009546 
Iteration 00571    Loss 0.009355 
Iteration 00572    Loss 0.009205 
Iteration 00573    Loss 0.009091 
Iteration 00574    Loss 0.009007 
Iteration 00575    Loss 0.008994 
Iteration 00576    Loss 0.008861 
Iteration 00577    Loss 0.008900 
Iteration 00578    Loss 0.008874 
Iteration 00579    Loss 0.008921 
Iteration 00580    Loss 0.008929 
Iteration 00581    Loss 0.008862 
Iteration 00582    Loss 0.008838 
Iteration 00583    Loss 0.008986 
Iteration 00584    Loss 0.009214 
Iteration 00585    Loss 0.009430 
Iteration 00586    Loss 0.009448 
Iteration 00587    Loss 0.009379 
Iteration 00588    Loss 0.009127 
Iteration 00589    Loss 0.008999 
Iteration 00590    Loss 0.008944 
Iteration 00591    Loss 0.009047 
Iteration 00592    Loss 0.008998 
Iteration 00593    Loss 0.009053 
Iteration 00594    Loss 0.009146 
Iteration 00595    Loss 0.008815 
Iteration 00596    Loss 0.008672 
Iteration 00597    Loss 0.008707 
Iteration 00598    Loss 0.008783 
Iteration 00599    Loss 0.008675 
Iteration 00600    Loss 0.008447 
Iteration 00601    Loss 0.008417 
Iteration 00602    Loss 0.008531 
Iteration 00603    Loss 0.008509 
Iteration 00604    Loss 0.008473 
Iteration 00605    Loss 0.008310 
Iteration 00606    Loss 0.008452 
