Namespace(image='library', model='skip_depth2')
Number of params: 59635
Starting optimization with ADAM
Iteration 00511    Loss 0.003947 
Iteration 00512    Loss 0.004002 
Iteration 00513    Loss 0.004148 
Iteration 00514    Loss 0.004337 
Iteration 00515    Loss 0.004522 
Iteration 00516    Loss 0.004464 
Iteration 00517    Loss 0.004237 
Iteration 00518    Loss 0.004193 
Iteration 00519    Loss 0.004369 
Iteration 00520    Loss 0.004407 
Iteration 00521    Loss 0.004134 
Iteration 00522    Loss 0.003957 
Iteration 00523    Loss 0.004075 
Iteration 00524    Loss 0.004127 
Iteration 00525    Loss 0.004006 
Iteration 00526    Loss 0.003900 
Iteration 00527    Loss 0.003885 
Iteration 00528    Loss 0.003935 
Iteration 00529    Loss 0.003911 
Iteration 00530    Loss 0.003813 
Iteration 00531    Loss 0.003810 
Iteration 00532    Loss 0.003871 
Iteration 00533    Loss 0.003878 
Iteration 00534    Loss 0.003900 
Iteration 00535    Loss 0.004007 
Iteration 00536    Loss 0.004238 
Iteration 00537    Loss 0.004548 
Iteration 00538    Loss 0.004658 
Iteration 00539    Loss 0.004403 
Iteration 00540    Loss 0.004092 
Iteration 00541    Loss 0.004111 
Iteration 00542    Loss 0.004410 
Iteration 00543    Loss 0.004283 
Iteration 00544    Loss 0.003892 
Iteration 00545    Loss 0.004012 
Iteration 00546    Loss 0.004166 
Iteration 00547    Loss 0.003983 
Iteration 00548    Loss 0.003865 
Iteration 00549    Loss 0.003910 
Iteration 00550    Loss 0.003911 
Iteration 00551    Loss 0.003870 
Iteration 00552    Loss 0.003816 
Iteration 00553    Loss 0.003756 
Iteration 00554    Loss 0.003790 
Iteration 00555    Loss 0.003788 
Iteration 00556    Loss 0.003737 
Iteration 00557    Loss 0.003714 
Iteration 00558    Loss 0.003713 
Iteration 00559    Loss 0.003743 
Iteration 00560    Loss 0.003799 
Iteration 00561    Loss 0.003899 
Iteration 00562    Loss 0.004082 
Iteration 00563    Loss 0.004370 
Iteration 00564    Loss 0.004575 
Iteration 00565    Loss 0.004454 
Iteration 00566    Loss 0.003952 
Iteration 00567    Loss 0.004025 
Iteration 00568    Loss 0.004265 
Iteration 00569    Loss 0.004009 
Iteration 00570    Loss 0.003834 
Iteration 00571    Loss 0.003942 
Iteration 00572    Loss 0.003912 
Iteration 00573    Loss 0.003821 
Iteration 00574    Loss 0.003773 
Iteration 00575    Loss 0.003782 
Iteration 00576    Loss 0.003792 
Iteration 00577    Loss 0.003713 
Iteration 00578    Loss 0.003692 
Iteration 00579    Loss 0.003727 
Iteration 00580    Loss 0.003711 
Iteration 00581    Loss 0.003701 
Iteration 00582    Loss 0.003790 
Iteration 00583    Loss 0.003891 
Iteration 00584    Loss 0.004022 
Iteration 00585    Loss 0.004234 
Iteration 00586    Loss 0.004358 
Iteration 00587    Loss 0.004177 
Iteration 00588    Loss 0.003949 
Iteration 00589    Loss 0.003969 
Iteration 00590    Loss 0.004059 
Iteration 00591    Loss 0.004043 
Iteration 00592    Loss 0.003842 
Iteration 00593    Loss 0.003735 
Iteration 00594    Loss 0.003834 
Iteration 00595    Loss 0.003858 
Iteration 00596    Loss 0.003749 
Iteration 00597    Loss 0.003691 
Iteration 00598    Loss 0.003708 
Iteration 00599    Loss 0.003682 
Iteration 00600    Loss 0.003663 
Iteration 00601    Loss 0.003653 
Iteration 00602    Loss 0.003609 
Iteration 00603    Loss 0.003595 
Iteration 00604    Loss 0.003611 
Iteration 00605    Loss 0.003600 
Iteration 00606    Loss 0.003620 
Iteration 00607    Loss 0.003684 
Iteration 00608    Loss 0.003820 
Iteration 00609    Loss 0.004102 
Iteration 00610    Loss 0.004558 
Iteration 00611    Loss 0.004729 
Iteration 00612    Loss 0.004366 
Iteration 00613    Loss 0.003828 
Iteration 00614    Loss 0.004070 
Iteration 00615    Loss 0.004271 
Iteration 00616    Loss 0.003882 
Iteration 00617    Loss 0.003761 
Iteration 00618    Loss 0.003992 
Iteration 00619    Loss 0.003874 
Iteration 00620    Loss 0.003654 
Iteration 00621    Loss 0.003744 
Iteration 00622    Loss 0.003793 
Iteration 00623    Loss 0.003629 
Iteration 00624    Loss 0.003583 
Iteration 00625    Loss 0.003691 
Iteration 00626    Loss 0.003650 
Iteration 00627    Loss 0.003552 
Iteration 00628    Loss 0.003605 
Iteration 00629    Loss 0.003664 
Iteration 00630    Loss 0.003657 
Iteration 00631    Loss 0.003702 
Iteration 00632    Loss 0.003862 
Iteration 00633    Loss 0.003963 
Iteration 00634    Loss 0.003992 
Iteration 00635    Loss 0.003870 
Iteration 00636    Loss 0.003714 
Iteration 00637    Loss 0.003698 
Iteration 00638    Loss 0.003779 
Iteration 00639    Loss 0.003862 
Iteration 00640    Loss 0.003825 
Iteration 00641    Loss 0.003738 
Iteration 00642    Loss 0.003753 
Iteration 00643    Loss 0.003846 
Iteration 00644    Loss 0.003876 
Iteration 00645    Loss 0.003777 
Iteration 00646    Loss 0.003649 
Iteration 00647    Loss 0.003588 
Iteration 00648    Loss 0.003598 
Iteration 00649    Loss 0.003603 
Iteration 00650    Loss 0.003571 
Iteration 00651    Loss 0.003526 
Iteration 00652    Loss 0.003520 
Iteration 00653    Loss 0.003545 
Iteration 00654    Loss 0.003551 
Iteration 00655    Loss 0.003574 
Iteration 00656    Loss 0.003611 
Iteration 00657    Loss 0.003641 
Iteration 00658    Loss 0.003744 
Iteration 00659    Loss 0.003981 
Iteration 00660    Loss 0.004231 
Iteration 00661    Loss 0.004251 
Iteration 00662    Loss 0.004065 
Iteration 00663    Loss 0.003964 
Iteration 00664    Loss 0.004102 
Iteration 00665    Loss 0.004040 
Iteration 00666    Loss 0.003718 
Iteration 00667    Loss 0.003670 
Iteration 00668    Loss 0.003818 
Iteration 00669    Loss 0.003762 
Iteration 00670    Loss 0.003612 
Iteration 00671    Loss 0.003605 
Iteration 00672    Loss 0.003613 
Iteration 00673    Loss 0.003593 
Iteration 00674    Loss 0.003572 
Iteration 00675    Loss 0.003516 
Iteration 00676    Loss 0.003484 
Iteration 00677    Loss 0.003503 
Iteration 00678    Loss 0.003476 
Iteration 00679    Loss 0.003426 
Iteration 00680    Loss 0.003421 
Iteration 00681    Loss 0.003432 
Iteration 00682    Loss 0.003429 
Iteration 00683    Loss 0.003421 
Iteration 00684    Loss 0.003394 
Iteration 00685    Loss 0.003400 
Iteration 00686    Loss 0.003450 
Iteration 00687    Loss 0.003535 
Iteration 00688    Loss 0.003652 
Iteration 00689    Loss 0.003861 
Iteration 00690    Loss 0.003972 
Iteration 00691    Loss 0.003968 
Iteration 00692    Loss 0.003779 
Iteration 00693    Loss 0.003810 
Iteration 00694    Loss 0.004026 
Iteration 00695    Loss 0.003985 
Iteration 00696    Loss 0.003804 
Iteration 00697    Loss 0.003663 
Iteration 00698    Loss 0.003714 
Iteration 00699    Loss 0.003674 
Iteration 00700    Loss 0.003513 
Iteration 00701    Loss 0.003578 
Iteration 00702    Loss 0.003627 
Iteration 00703    Loss 0.003484 
Iteration 00704    Loss 0.003472 
Iteration 00705    Loss 0.003534 
Iteration 00706    Loss 0.003470 
Iteration 00707    Loss 0.003440 
Iteration 00708    Loss 0.003506 
Iteration 00709    Loss 0.003526 
Iteration 00710    Loss 0.003565 
Iteration 00711    Loss 0.003667 
Iteration 00712    Loss 0.003815 
Iteration 00713    Loss 0.003902 
Iteration 00714    Loss 0.003795 
Iteration 00715    Loss 0.003551 
Iteration 00716    Loss 0.003439 
Iteration 00717    Loss 0.003470 
Iteration 00718    Loss 0.003539 
Iteration 00719    Loss 0.003613 
Iteration 00720    Loss 0.003552 
Iteration 00721    Loss 0.003404 
Iteration 00722    Loss 0.003341 
Iteration 00723    Loss 0.003393 
Iteration 00724    Loss 0.003424 
Iteration 00725    Loss 0.003432 
Iteration 00726    Loss 0.003458 
Iteration 00727    Loss 0.003458 
Iteration 00728    Loss 0.003460 
