Namespace(image='vase', model='ce_skip_depth4')
Number of params: 2157955
Starting optimization with ADAM
Iteration 00668    Loss 0.003587 
Iteration 00669    Loss 0.003595 
Iteration 00670    Loss 0.003666 
Iteration 00671    Loss 0.003739 
Iteration 00672    Loss 0.003977 
Iteration 00673    Loss 0.003917 
Iteration 00674    Loss 0.003861 
Iteration 00675    Loss 0.003757 
Iteration 00676    Loss 0.003678 
Iteration 00677    Loss 0.003777 
Iteration 00678    Loss 0.003596 
Iteration 00679    Loss 0.003656 
Iteration 00680    Loss 0.003506 
Iteration 00681    Loss 0.003517 
Iteration 00682    Loss 0.003477 
Iteration 00683    Loss 0.003388 
Iteration 00684    Loss 0.003362 
Iteration 00685    Loss 0.003357 
Iteration 00686    Loss 0.003274 
Iteration 00687    Loss 0.003276 
Iteration 00688    Loss 0.003250 
Iteration 00689    Loss 0.003256 
Iteration 00690    Loss 0.003202 
Iteration 00691    Loss 0.003276 
Iteration 00692    Loss 0.003387 
Iteration 00693    Loss 0.003430 
Iteration 00694    Loss 0.003349 
Iteration 00695    Loss 0.003380 
Iteration 00696    Loss 0.003327 
Iteration 00697    Loss 0.003349 
Iteration 00698    Loss 0.003391 
Iteration 00699    Loss 0.003610 
Iteration 00700    Loss 0.003909 
Iteration 00701    Loss 0.003908 
Iteration 00702    Loss 0.003861 
Iteration 00703    Loss 0.004287 
Iteration 00704    Loss 0.004466 
Iteration 00705    Loss 0.004420 
Iteration 00706    Loss 0.003920 
Iteration 00707    Loss 0.003795 
Iteration 00708    Loss 0.003744 
Iteration 00709    Loss 0.003686 
Iteration 00710    Loss 0.003532 
Iteration 00711    Loss 0.003479 
Iteration 00712    Loss 0.003443 
Iteration 00713    Loss 0.003446 
Iteration 00714    Loss 0.003290 
Iteration 00715    Loss 0.003289 
Iteration 00716    Loss 0.003244 
Iteration 00717    Loss 0.003197 
Iteration 00718    Loss 0.003193 
Iteration 00719    Loss 0.003096 
Iteration 00720    Loss 0.003108 
Iteration 00721    Loss 0.003084 
Iteration 00722    Loss 0.003031 
Iteration 00723    Loss 0.003023 
Iteration 00724    Loss 0.002999 
Iteration 00725    Loss 0.002968 
Iteration 00726    Loss 0.002929 
Iteration 00727    Loss 0.002908 
Iteration 00728    Loss 0.002880 
Iteration 00729    Loss 0.002891 
Iteration 00730    Loss 0.002965 
Iteration 00731    Loss 0.002973 
Iteration 00732    Loss 0.002947 
Iteration 00733    Loss 0.002957 
Iteration 00734    Loss 0.002998 
Iteration 00735    Loss 0.003102 
Iteration 00736    Loss 0.002984 
Iteration 00737    Loss 0.002867 
Iteration 00738    Loss 0.002901 
Iteration 00739    Loss 0.002900 
Iteration 00740    Loss 0.002908 
Iteration 00741    Loss 0.002876 
Iteration 00742    Loss 0.002890 
Iteration 00743    Loss 0.002898 
Iteration 00744    Loss 0.002931 
Iteration 00745    Loss 0.002968 
Iteration 00746    Loss 0.003308 
Iteration 00747    Loss 0.003299 
Iteration 00748    Loss 0.003312 
Iteration 00749    Loss 0.003377 
Iteration 00750    Loss 0.003425 
Iteration 00751    Loss 0.003207 
Iteration 00752    Loss 0.003373 
Iteration 00753    Loss 0.003379 
Iteration 00754    Loss 0.003222 
Iteration 00755    Loss 0.003131 
Iteration 00756    Loss 0.003010 
Iteration 00757    Loss 0.003073 
Iteration 00758    Loss 0.003000 
Iteration 00759    Loss 0.003007 
Iteration 00760    Loss 0.002955 
Iteration 00761    Loss 0.002885 
Iteration 00762    Loss 0.002859 
Iteration 00763    Loss 0.002799 
Iteration 00764    Loss 0.002758 
Iteration 00765    Loss 0.002754 
Iteration 00766    Loss 0.002770 
